file,genre,total,a,b,p_a_s,p_b_s,dendro_color
偽者二題,随筆,27,9,0,0.3392857142857140,0.0178571428571428,緑
女体,小説,27,9,0,0.3392857142857140,0.0178571428571428,緑
羅生門の後に,跋文,50,17,0,0.3431372549019610,0.0098039215686274,緑
身のまはり,随筆,44,15,0,0.3444444444444440,0.0111111111111111,緑
後世,随筆,32,11,0,0.3484848484848490,0.0151515151515151,緑
日本の女,随筆,191,65,2,0.3411458333333330,0.0130208333333333,緑
谷崎潤一郎氏,人物記,31,6,0,0.203125,0.015625,緑
三つのなぜ,小説,107,23,1,0.2175925925925930,0.0138888888888888,緑
しるこ,随筆,38,8,0,0.2179487179487180,0.0128205128205128,緑
詩集,小説,38,8,0,0.2179487179487180,0.0128205128205128,緑
蒐書,随筆,27,6,0,0.2321428571428570,0.0178571428571428,緑
俳画展覧会を観て,評論,28,6,0,0.2241379310344830,0.0172413793103448,緑
celt_no_hakumei,翻訳,148,32,2,0.2181208053691280,0.0167785234899328,緑
世の中と女,随筆,29,6,0,0.2166666666666670,0.0166666666666666,緑
日本小説の支那訳,評論,50,10,0,0.2058823529411760,0.0098039215686274,緑
着物,小説,49,10,0,0.21,0.01,緑
続野人生計事,随筆,492,98,5,0.1997971602434080,0.011156186612576,緑
豊島与志雄氏の事,人物記,40,8,0,0.2073170731707320,0.0121951219512195,緑
合理的、同時に多量の人間味,人物記,34,6,0,0.1857142857142860,0.0142857142857142,緑
点鬼簿,小説,163,30,2,0.1859756097560980,0.0152439024390243,緑
沼,小説,39,7,0,0.1875,0.0125,緑
窓,小説,38,7,0,0.1923076923076920,0.0128205128205128,緑
葱,小説,201,36,2,0.1806930693069310,0.0123762376237623,緑
ピアノ,小説,50,9,0,0.1862745098039220,0.0098039215686274,緑
翻訳小品,翻訳,45,8,0,0.1847826086956520,0.0108695652173913,緑
金将軍,小説,91,15,0,0.1684782608695650,0.0054347826086956,緑
庭,小説,191,32,1,0.1692708333333330,0.0078125,緑
校正後に,跋文,66,11,0,0.1716417910447760,0.0074626865671641,緑
仏蘭西文学と僕,随筆,71,13,0,0.1875,0.0069444444444444,緑
伝吉の敵打ち,小説,189,36,1,0.1921052631578950,0.0078947368421052,緑
樗牛の事,評論,90,16,0,0.1813186813186810,0.0054945054945054,緑
鴉片,随筆,117,21,0,0.1822033898305080,0.0042372881355932,緑
一塊の土,小説,345,67,0,0.1950867052023120,0.0014450867052023,緑
湖南の扇,小説,312,62,0,0.1996805111821090,0.0015974440894568,緑
袈裟と盛遠,小説,221,37,0,0.1689189189189190,0.0022522522522522,緑
首が落ちた話,小説,197,36,0,0.1843434343434340,0.0025252525252525,緑
世之助の話,小説,216,47,0,0.2188940092165900,0.0023041474654377,緑
芭蕉雑記,評論,478,107,0,0.2244258872651360,0.0010438413361169,緑
彼　第二,小説,222,46,1,0.2085201793721970,0.0067264573991031,緑
貉,小説,70,14,0,0.204225352112676,0.0070422535211267,緑
早春,小説,129,26,0,0.2038461538461540,0.0038461538461538,緑
本の事,随筆,110,23,0,0.2117117117117120,0.0045045045045045,緑
大久保湖州,評論,340,70,1,0.2067448680351910,0.0043988269794721,緑
