file,genre,total,a,b,p_a_s,p_b_s,dendro_color
早春,小説,129,3,20,0.0269230769230769,0.1576923076923080,赤
馬の脚,小説,420,8,71,0.0201900237529691,0.169833729216152,赤
小説の戯曲化,評論,61,0,30,0.0080645161290322,0.4919354838709680,赤
「菊池寛全集」の序,序文,57,2,24,0.043103448275862,0.4224137931034480,赤
又一説？,アンケート,21,0,9,0.0227272727272727,0.4318181818181820,赤
龍村平蔵氏の芸術,評論,23,0,10,0.0208333333333333,0.4375,赤
格さんと食慾,人物記,19,0,10,0.025,0.525,赤
プロレタリア文学論,評論,51,1,24,0.0288461538461538,0.4711538461538460,赤
恋愛と夫婦愛とを混同しては不可ぬ,随筆,43,1,21,0.034090909090909,0.4886363636363640,赤
讀書の態度,随筆,32,1,11,0.0454545454545454,0.3484848484848490,赤
「支那游記」自序,序文,10,0,3,0.0454545454545454,0.3181818181818180,赤
入社の辞,感想,29,1,9,0.05,0.3166666666666670,赤
解嘲,評論,136,6,42,0.0474452554744525,0.3102189781021900,赤
近藤浩一路氏,人物記,25,0,9,0.0192307692307692,0.3653846153846150,赤
後世,随筆,32,0,11,0.0151515151515151,0.3484848484848490,赤
野人生計事,随筆,142,2,49,0.0174825174825174,0.3461538461538460,赤
侏儒の言葉,断章,1241,12,430,0.0100644122383252,0.3466183574879230,赤
侏儒の言葉_1,断章,1050,11,381,0.0109419600380589,0.362987630827783,赤
発句私見,評論,43,0,16,0.0113636363636363,0.375,赤
僻見,評論,600,1,201,0.0024958402662229,0.3352745424292850,赤
続西方の人,小説,277,0,87,0.0017985611510791,0.3147482014388490,赤
或旧友へ送る手記,遺書,115,0,41,0.0043103448275862,0.3577586206896550,赤
機関車を見ながら,随筆,73,0,27,0.0067567567567567,0.3716216216216220,赤
「仮面」の人々,回想,20,0,6,0.0238095238095238,0.3095238095238100,赤
猿蟹合戦,小説,65,1,20,0.0227272727272727,0.3106060606060610,赤
東京に生れて,アンケート,28,0,8,0.0172413793103448,0.293103448275862,赤
日本の女,随筆,191,3,58,0.0182291666666666,0.3046875,赤
第四の夫から,小説,87,1,27,0.0170454545454545,0.3125,赤
羅生門_1,小説,162,4,42,0.0276073619631901,0.2607361963190180,赤
文章と言葉と,随筆,29,0,7,0.0166666666666666,0.25,赤
女体,小説,27,0,7,0.0178571428571428,0.2678571428571430,赤
小杉未醒氏,人物記,23,0,6,0.0208333333333333,0.2708333333333330,赤
尼提,小説,70,1,19,0.0211267605633802,0.2746478873239440,赤
