file,genre,total,a,b,p_a_s,p_b_s
仏蘭西文学と僕,随筆,71,0,8,0.006944444444444444,0.11805555555555555
遺書,遺書,91,0,10,0.005434782608695652,0.11413043478260869
西郷隆盛,小説,319,3,32,0.0109375,0.1015625
軍艦金剛航海記,記録文,207,2,21,0.01201923076923077,0.10336538461538461
不思議な島,小説,247,2,21,0.010080645161290322,0.08669354838709678
保吉の手帳から,小説,345,3,30,0.010115606936416185,0.08815028901734104
漱石山房の秋,小説,37,0,3,0.013157894736842105,0.09210526315789473
霜夜,随筆,38,0,3,0.01282051282051282,0.08974358974358974
兄貴のような心持,人物記,22,0,2,0.021739130434782608,0.10869565217391304
煙草と悪魔,小説,175,2,22,0.014204545454545454,0.1278409090909091
伝吉の敵打ち,小説,189,2,22,0.013157894736842105,0.11842105263157894
産屋,小説,30,0,3,0.016129032258064516,0.11290322580645161
追憶,回想,401,6,48,0.01616915422885572,0.12064676616915423
芋粥,小説,419,0,69,0.0011904761904761906,0.16547619047619047
しるこ,随筆,38,0,8,0.01282051282051282,0.21794871794871795
愛読書の印象,随筆,43,0,9,0.011363636363636364,0.2159090909090909
一つの作が出来上るまで,随筆,44,0,9,0.011111111111111112,0.2111111111111111
身のまはり,随筆,44,0,9,0.011111111111111112,0.2111111111111111
支那の画,随筆,54,0,12,0.00909090909090909,0.22727272727272727
鼻,小説,165,1,36,0.009036144578313253,0.21987951807228914
リチヤアド・バアトン訳「一千一夜物語」に就いて,談話,117,1,27,0.012711864406779662,0.2330508474576271
二人の友,回想,45,0,10,0.010869565217391304,0.22826086956521738
島木赤彦氏,追悼文,48,0,11,0.01020408163265306,0.23469387755102042
蒐書,随筆,27,0,6,0.017857142857142856,0.23214285714285715
世の中と女,随筆,29,0,6,0.016666666666666666,0.21666666666666667
俳画展覧会を観て,評論,28,0,6,0.017241379310344827,0.22413793103448276
春の夜,小説,86,1,17,0.017241379310344827,0.20114942528735633
風変りな作品に就いて,随筆,36,0,7,0.013513513513513514,0.20270270270270271
枯野抄,小説,135,0,28,0.003676470588235294,0.20955882352941177
わが散文詩,散文詩,151,0,29,0.003289473684210526,0.19407894736842105
大久保湖州,評論,340,1,66,0.004398826979472141,0.19501466275659823
酒虫,小説,199,1,39,0.0075,0.1975
孤独地獄,小説,89,0,19,0.005555555555555556,0.21666666666666667
長江游記,紀行文,233,1,49,0.00641025641025641,0.21153846153846154
お時儀,小説,143,0,32,0.003472222222222222,0.22569444444444445
十円札,小説,281,0,58,0.0017730496453900709,0.2074468085106383
芭蕉雑記,評論,478,0,106,0.0010438413361169101,0.22233820459290188
おぎん,小説,169,2,25,0.014705882352941176,0.15
あばばばば,小説,261,3,36,0.013358778625954198,0.13931297709923665
槍ヶ嶽紀行,紀行文,123,1,17,0.012096774193548387,0.14112903225806453
僕は,断章,40,0,6,0.012195121951219513,0.15853658536585366
豊島与志雄氏の事,人物記,40,0,6,0.012195121951219513,0.15853658536585366
大正十二年九月一日の大震に際して,随筆,311,4,50,0.014423076923076924,0.16185897435897437
滝田哲太郎氏,追悼文,38,0,6,0.01282051282051282,0.16666666666666666
東西問答,随筆,51,0,8,0.009615384615384616,0.16346153846153846
celt_no_hakumei,翻訳,148,1,22,0.010067114093959731,0.15100671140939598
文章,小説,240,2,37,0.01037344398340249,0.15560165975103735
日本小説の支那訳,評論,50,0,9,0.00980392156862745,0.18627450980392157
少年,小説,559,6,105,0.011607142857142858,0.18839285714285714
悪魔,小説,45,0,8,0.010869565217391304,0.18478260869565216
ひょっとこ,小説,173,2,30,0.014367816091954023,0.1752873563218391
滝田哲太郎君,追悼文,41,0,7,0.011904761904761904,0.17857142857142858
或日の大石内蔵助,小説,214,2,37,0.011627906976744186,0.1744186046511628
本所両国,随筆,782,9,134,0.012132822477650063,0.17177522349936142
本の事,随筆,110,0,19,0.0045045045045045045,0.17567567567567569
鴉片,随筆,117,0,20,0.00423728813559322,0.17372881355932204
貉,小説,70,0,11,0.007042253521126761,0.1619718309859155
手巾,小説,197,1,35,0.007575757575757576,0.17929292929292928
本所両国_1,随筆,753,5,134,0.007294429708222812,0.1783819628647215
蜜柑_1,小説,59,0,10,0.008333333333333333,0.175
蜜柑_2,小説,59,0,10,0.008333333333333333,0.175
さまよえる猶太人,小説,185,1,31,0.008064516129032258,0.1693548387096774
蜜柑,小説,60,0,10,0.00819672131147541,0.1721311475409836
槐,随筆,21,0,4,0.022727272727272728,0.20454545454545456
小説の読者,評論,23,0,4,0.020833333333333332,0.1875
鴨猟,追悼文,18,0,3,0.02631578947368421,0.18421052631578946
早春,小説,129,3,20,0.026923076923076925,0.1576923076923077
馬の脚,小説,420,8,71,0.020190023752969122,0.16983372921615203
小説の戯曲化,評論,61,0,30,0.008064516129032258,0.49193548387096775
「菊池寛全集」の序,序文,57,2,24,0.04310344827586207,0.4224137931034483
又一説？,アンケート,21,0,9,0.022727272727272728,0.4318181818181818
